AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
8359320,3009378,257722,516,2013-09-17,2171,轻音乐 放松 经典 ,35,背景音乐珍藏，总有一天你会用上的,3924483,https://music.163.com/playlist?id=3924483
6276129,327424933,87389,263,2017-06-06,860,日语 摇滚 清新 ,50,『日摇』烟火盛放的清新夏夜,753054763,https://music.163.com/playlist?id=753054763
9542318,720841,119935,986,2016-06-21,2987,电子 清新 放松 ,46,电音//有点撩骚的萨克斯,405849034,https://music.163.com/playlist?id=405849034
2693779,85351650,42223,317,2016-03-02,942,乡村 欧美 ,90,蓝草选集 I 触碰三月暖阳，哼唱轻快小调,310372396,https://music.163.com/playlist?id=310372396
6169540,7394345,108929,596,2016-11-05,3104,电子 孤独 另类/独立 ,72,冰気电子 ' 沉溺于绮旷的荒芜之境,502767290,https://music.163.com/playlist?id=502767290
5684382,103672794,112783,544,2016-06-22,2175,浪漫 舞曲 轻音乐 ,32,【摇曳着的优雅与浪漫】三步华尔兹,406761044,https://music.163.com/playlist?id=406761044
14235645,128196405,278343,854,2017-12-01,4835,欧美 民谣 治愈 ,36,北欧民谣 | 赐你一剂澄净安逸的心灵圣药,1997189512,https://music.163.com/playlist?id=1997189512
1283947,418592306,18882,50,2018-09-06,473,欧美 影视原声 钢琴 ,32,电影中的钢琴曲丨恋语哼唱，佳片有约,2407040250,https://music.163.com/playlist?id=2407040250
2742648,306851500,35175,196,2020-03-02,816,经典 欧美 怀旧 ,44,诗人篇 | 那些藏在音乐里的文学宝藏,4893733399,https://music.163.com/playlist?id=4893733399
367154,111089166,5426,36,2020-06-09,345,轻音乐 夜晚 孤独 ,61,致郁纯音丨那些用符号编织的梦境,5056460435,https://music.163.com/playlist?id=5056460435
34798828,1176807,971989,5578,2013-07-29,13890,古典 工作 学习 ,31,增强记忆性古典音乐（适合学习作业使用）,2984653,https://music.163.com/playlist?id=2984653
14943023,5832286,403147,1128,2016-03-15,6556,古典 放松 器乐 ,41,古典｜从巴洛克到浪漫的你，温柔绵长。,317803115,https://music.163.com/playlist?id=317803115
16695928,2445590,309111,1043,2016-01-19,4573,影视原声 钢琴 欧美 ,59,电影中的钢琴曲｜最会讲故事²,156659312,https://music.163.com/playlist?id=156659312
6355486,85351650,115556,951,2016-11-18,3356,后摇 钢琴 另类/独立 ,198,钢琴后摇 I 初雪点地，窸窣低语,513217941,https://music.163.com/playlist?id=513217941
10979360,50255421,148528,900,2018-09-15,3353,轻音乐 清新 安静 ,68,『纯音乐』当雨滴敲响琴键,2420545066,https://music.163.com/playlist?id=2420545066
9455468,74029445,123575,450,2017-09-27,2140,欧美 摇滚 英伦 ,147,「英伦摇滚」唱片中的昔日时光,934792457,https://music.163.com/playlist?id=934792457
12684305,411402173,226082,771,2019-02-26,2837,华语 古风 浪漫 ,149,「居家古风」如何把生活过成诗,2685449094,https://music.163.com/playlist?id=2685449094
11385125,5793019,333603,1585,2015-02-10,6368,爵士 拉丁 放松 ,25,「论如何优雅地扭动身体」,51425247,https://music.163.com/playlist?id=51425247
29057570,85351650,746345,4122,2016-03-12,13042,电子 古风 民族 ,538,电子·中国风 I 感受角徵宫商的荡气回肠,316223640,https://music.163.com/playlist?id=316223640
4275256,45441555,153304,883,2017-04-07,1521,日语 电子 ACG ,108,水果味汽水｜清甜软萌音捕获你的心,689121986,https://music.163.com/playlist?id=689121986
2985542,45441555,86800,428,2017-07-10,1252,日语 治愈 ACG ,35,少女心ღ｜恋爱是颗苹果糖,805407063,https://music.163.com/playlist?id=805407063
1470069,111089166,18094,140,2020-05-20,593,ACG 轻音乐 伤感 ,178,物哀纯音丨花开于彼岸 魂落于忘川,5026417815,https://music.163.com/playlist?id=5026417815
2289408,45441555,84540,812,2016-09-27,1079,日语 治愈 ACG ,398,软萌合唱｜让可愛治愈这个世界,473445872,https://music.163.com/playlist?id=473445872
3912840,83659385,79121,419,2017-12-05,1535,日语 感动 ACG ,265,東方抒情集：一梦华胥 永眠不散之宴,2003672301,https://music.163.com/playlist?id=2003672301
3508731,129153895,38822,400,2017-05-17,859,小语种 流行 快乐 ,39,狂想.奔放.动感.突然想学西语了！✌️,730705552,https://music.163.com/playlist?id=730705552
5448534,83659385,161349,1105,2017-09-10,2598,轻音乐 钢琴 ACG ,245,東方钢琴祭：幻梦终醒 本无不散之宴,913908853,https://music.163.com/playlist?id=913908853
18015986,739256,305369,1062,2014-04-06,5316,电子 欧美 酒吧 ,299,世界顶级沙发酒吧音乐。,11067348,https://music.163.com/playlist?id=11067348
24319328,74029445,623870,2031,2017-07-11,12094,日语 民谣 夜晚 ,72,「日语民谣」月色中的浅吟低唱,806728741,https://music.163.com/playlist?id=806728741
5474184,341030416,58514,214,2020-04-18,1369,乡村 旅行 驾车 ,325,《美国乡村乐图鉴与简史》,4975456668,https://music.163.com/playlist?id=4975456668
11870083,302227129,138593,430,2017-11-15,2303,民谣 欧美 怀旧 ,100,欧美民谣 I 往昔璀璨如钻 却又锈迹斑斑,997386069,https://music.163.com/playlist?id=997386069
22205588,129377889,490419,1342,2018-02-05,4901,日语 ACG 治愈 ,123,日系温柔女声| 沐浴在歌声中的暖阳下,2088799380,https://music.163.com/playlist?id=2088799380
5673798,75179909,142951,1763,2016-05-28,4482,后摇 孤独 器乐 ,300,300支后摇乐队，300种感性共鸣,390783436,https://music.163.com/playlist?id=390783436
4362538,46665989,69898,271,2015-10-07,2207,爵士 放松 欧美 ,51,「Cool Jazz」冷爵士让你全身心放松,113780871,https://music.163.com/playlist?id=113780871
9648017,44293336,128422,793,2015-01-24,1839,运动 兴奋 电子 ,45,超带感骑行音乐无限循环公路党狂飙,48293091,https://music.163.com/playlist?id=48293091
9218203,122356259,190740,1133,2018-03-03,4187,欧美 酒吧 爵士 ,39,黑胶酒馆|耳畔的浪漫眼中的你,2125737991,https://music.163.com/playlist?id=2125737991
17541546,12383468,334453,2350,2015-06-04,6815,古典 轻音乐 治愈 ,37,【古典音乐】治疗焦虑症的良药,78674080,https://music.163.com/playlist?id=78674080
26256546,2928531,590247,1651,2015-01-30,11540,爵士 欧美 酒吧 ,30,小酒馆的微醺需要腔调和情怀,49242031,https://music.163.com/playlist?id=49242031
80791440,103159696,993635,19375,2016-04-07,53885,轻音乐 夜晚 安静 ,32,深度睡眠 |重度失眠者专用歌单,331841455,https://music.163.com/playlist?id=331841455
46340704,108952364,459900,938,2018-07-12,4952,华语 流行 民谣 ,99,100首华语民谣，因为懂得才有共鸣,2312165875,https://music.163.com/playlist?id=2312165875
1792643,499915181,14879,63,2018-03-16,345,华语 雷鬼 ,85,国人雷鬼 Ι 探索不拘一格的玩性洒脱,2143660964,https://music.163.com/playlist?id=2143660964
6092,8415585269,40,评论,2024-04-07,0,华语 流行 90后 ,100,90后青春回忆杀 | 是过往 是经典 是老歌,9702576219,https://music.163.com/playlist?id=9702576219
1859,2118682115,12,评论,2024-04-23,0,华语 流行 网络歌曲 ,55,华语丨流行歌曲 一人一首成名曲 久听不厌,9882695026,https://music.163.com/playlist?id=9882695026
809,290894929,10,评论,2024-04-05,0,华语 流行 90后 ,168,流行歌曲 | 陪伴90后青春 一人一首成名曲,9680703509,https://music.163.com/playlist?id=9680703509
4748,107742044,32,评论,2024-03-30,0,华语 流行 综艺 ,80,天花板女嗓：单依纯 张碧晨 刘惜君 郁可唯,9596126355,https://music.163.com/playlist?id=9596126355
5152,290894929,36,评论,2024-04-04,0,粤语 流行 怀旧 ,53,一个好听到爆的粤语歌单 一秒沦陷,9675422546,https://music.163.com/playlist?id=9675422546
2438,290894929,9,评论,2024-04-11,0,华语 流行 90后 ,104,青春旋律 | 90/00后校园回忆 华语流行歌曲,9760566375,https://music.163.com/playlist?id=9760566375
2669,107742044,34,评论,2024-05-03,1,华语 流行 综艺 ,96,陈楚生，汪苏泷，王赫野，张碧晨，周深,9976608564,https://music.163.com/playlist?id=9976608564
2711,107742044,30,评论,2024-04-25,0,华语 流行 驾车 ,103,任素汐 毛不易 单依纯 张碧晨 薛之谦 张杰,9905297712,https://music.163.com/playlist?id=9905297712
5257,1752777391,62,3,2024-03-18,0,韩语 流行 兴奋 ,49,kpop女团❣女娃炸裂动感舞曲精选(G)I-DLE,9479272004,https://music.163.com/playlist?id=9479272004
178154,485543957,2874,21,2024-03-26,39,欧美 旅行 放松 ,40,旅途音乐丨想做风 去自由 去追逐 勇敢炽烈,9534315390,https://music.163.com/playlist?id=9534315390
4240,107742044,43,评论,2024-03-22,1,华语 流行 综艺 ,60,神仙综艺：《声生不息》《天赐的声音》,9505665159,https://music.163.com/playlist?id=9505665159
1905,290894929,16,评论,2024-04-15,0,华语 流行 怀旧 ,80,华语 | 火爆华语乐坛 怀念神仙打架的年代,9800647935,https://music.163.com/playlist?id=9800647935
9637,468356020,40,2,2024-04-02,0,韩语 流行 快乐 ,65,Kpop女团｜抓耳旋律唤醒今夏清凉,9642621272,https://music.163.com/playlist?id=9642621272
498022,107742044,2340,4,2024-03-18,11,华语 流行 驾车 ,150,任素汐 张碧晨 毛不易 单依纯 薛之谦,9470426097,https://music.163.com/playlist?id=9470426097
60277,3242104111,284,1,2024-03-25,7,华语 R&B/Soul 浪漫 ,51,总有一首柔情蜜意的R&B，适合用来表白,9525807177,https://music.163.com/playlist?id=9525807177
82784,320124868,740,18,2024-03-06,296,日语 ACG 影视原声 ,104,2024年4月新番音乐合集 四月新番更新中,9385263401,https://music.163.com/playlist?id=9385263401
4589,107742044,46,评论,2024-03-22,1,华语 流行 综艺 ,60,《声生不息》《时光音乐会》《天赐的声音》,9505003915,https://music.163.com/playlist?id=9505003915
73452,380154710,241,20,2024-04-28,15,欧美 流行 放松 ,63,舒缓治愈曲 | 愿你心静如水 愿你心怀暖阳,9934376965,https://music.163.com/playlist?id=9934376965
6176,107742044,43,评论,2024-04-08,0,华语 流行 综艺 ,99,单依纯 张碧晨 刘惜君 郁可唯 张靓颖,9717820963,https://music.163.com/playlist?id=9717820963
2457,537355012,20,评论,2024-05-08,0,华语 怀旧 经典 ,123,华语巅峰神仙打架8090年代金曲,10028817266,https://music.163.com/playlist?id=10028817266
1384,290894929,13,评论,2024-04-05,0,华语 流行 90后 ,168,重回90后青春 听着令人心痛流泪的经典老歌,9678525088,https://music.163.com/playlist?id=9678525088
51944,3242104111,207,4,2024-05-10,3,华语 说唱 ,34,地域说唱 | 乡音的呐喊，根植心底的诉说,10037104709,https://music.163.com/playlist?id=10037104709
36807,1289346856,214,4,2024-04-27,6,欧美 驾车 放松 ,79,欧美旅行｜Vlog 夕阳 海风 自由 浪漫氛围,9918242543,https://music.163.com/playlist?id=9918242543
1419015,107742044,7602,3,2024-01-21,62,华语 流行 综艺 ,88,华语顶级音综：一开嗓神仙沦陷！！！,9179492573,https://music.163.com/playlist?id=9179492573
140576,1778952780,432,4,2024-04-30,6,浪漫 夜晚 治愈 ,30,跨越距离｜我想我们一直在一起,9953567248,https://music.163.com/playlist?id=9953567248
4891,107742044,34,评论,2024-05-03,0,华语 流行 驾车 ,105,任素汐 陈楚生 周深 毛不易 林俊杰 汪苏泷,9976270592,https://music.163.com/playlist?id=9976270592
914,556046321,11,评论,2024-04-28,1,欧美 影视原声 ACG ,152,Carry全场！音燃热血「掌控大局」,9927083300,https://music.163.com/playlist?id=9927083300
7054,107742044,86,评论,2024-04-09,1,华语 流行 综艺 ,60,神仙舞台名场面！天赐的声音live,9734585629,https://music.163.com/playlist?id=9734585629
8591,107742044,34,评论,2024-05-08,0,华语 流行 综艺 ,64,天赐的声音：汪苏泷&张碧晨&陈楚生&姚晓棠,10024899665,https://music.163.com/playlist?id=10024899665
1741,290894929,13,评论,2024-04-12,0,90后 流行 华语 ,200,90后 | 华语经典怀旧老歌 藏在时光里的故事,9760438426,https://music.163.com/playlist?id=9760438426
3518,290894929,29,评论,2024-04-10,0,华语 流行 怀旧 ,120,华语怀旧 | 一句老歌词 勾起你无数回忆,9740726809,https://music.163.com/playlist?id=9740726809
17752,107742044,111,评论,2024-03-20,0,华语 流行 综艺 ,89,华语女声：张碧晨 单依纯 张靓颖 邓紫棋,9490737167,https://music.163.com/playlist?id=9490737167
2350,290894929,22,评论,2024-04-05,0,华语 流行 90后 ,164,重回95后的青春 一人一首成名曲,9681592431,https://music.163.com/playlist?id=9681592431
3900,107742044,48,评论,2024-05-16,0,华语 流行 综艺 ,64,《歌手2024》《天赐的声音》《声生不息》,10059978756,https://music.163.com/playlist?id=10059978756
5378,38377151,36,评论,2024-03-26,3,欧美 电子 驾车 ,98,『车载』拒绝7妹虞姬精神氮泵,9535132245,https://music.163.com/playlist?id=9535132245
62175,1289346856,861,12,2023-03-07,15,清新 放松 治愈 ,81,一个人散步 放空 晒太阳 看书 学习的歌单,8219364625,https://music.163.com/playlist?id=8219364625
1367,38377151,13,评论,2024-03-26,0,欧美 电子 驾车 ,98,运动【硬曲】【战歌起】自律时代,9531115088,https://music.163.com/playlist?id=9531115088
1300,342371680,23,评论,2024-05-01,0,欧美 R&B/Soul 流行 ,45,氛围R&B：Chill 松弛 慵懒 浪漫 高级感,9958350585,https://music.163.com/playlist?id=9958350585
592307,107742044,3538,4,2024-03-03,21,华语 流行 综艺 ,149,张碧晨 周深 汪苏泷 单依纯 张杰 薛之谦 林俊杰 李荣浩,9375834473,https://music.163.com/playlist?id=9375834473
98757,107742044,353,评论,2024-03-07,1,华语 流行 驾车 ,125,周深 张杰 陈楚生 单依纯 汪苏泷 张碧晨,9390887890,https://music.163.com/playlist?id=9390887890
9986,107742044,88,评论,2024-04-10,0,华语 流行 综艺 ,80,我是歌手+天赐的声音：一人一首成名曲,9748133816,https://music.163.com/playlist?id=9748133816
185000,2071162991,381,6,2024-03-04,3,华语 流行 清晨 ,96,春日序曲丨三月入侵 治愈一切不开心,9377331980,https://music.163.com/playlist?id=9377331980
1199,380154710,20,评论,2024-05-04,4,流行 轻音乐 伤感 ,97,宿命感纯音乐| 时代撕裂我破碎的心,9987382027,https://music.163.com/playlist?id=9987382027
38882,312585551,235,评论,2024-04-07,0,华语 流行 90后 ,179,90后经典老歌 | MP3里的一人一首成名曲,9710946894,https://music.163.com/playlist?id=9710946894
1745,115793593,22,评论,2024-04-30,0,欧美 电子 驾车 ,141,『车载』拒绝7妹虞姬精神氮泵,9947110398,https://music.163.com/playlist?id=9947110398
7210,5088441805,47,评论,2024-05-19,0,欧美 R&B/Soul 浪漫 ,118,欧美 R&B｜浪漫包围蔚蓝星球,10072593809,https://music.163.com/playlist?id=10072593809
72461,2071162991,152,评论,2024-04-22,2,华语 流行 浪漫 ,151,耳机给你 | 和我逃出这雨季,9867347110,https://music.163.com/playlist?id=9867347110
13875,38377151,101,1,2024-03-18,0,欧美 电子 驾车 ,209,低沉鼓点，极致低音享受 「车载」,9479783320,https://music.163.com/playlist?id=9479783320
25131,107742044,270,2,2024-04-03,2,华语 流行 感动 ,112,汪苏泷&单依纯&陈楚生&周深&毛不易,9665983926,https://music.163.com/playlist?id=9665983926
54951,107742044,267,3,2024-03-18,0,华语 流行 综艺 ,98,神仙嗓音天花板：单依纯 徐佳莹 郁可唯周深,9471473728,https://music.163.com/playlist?id=9471473728
140001,107742044,709,4,2024-03-04,0,华语 流行 综艺 ,82,华语顶级女歌手：单依纯 张碧晨 邓紫棋,9377055975,https://music.163.com/playlist?id=9377055975
6962,290894929,85,评论,2024-04-05,0,华语 流行 怀旧 ,200,一人一首成名曲 | 陪伴8090后青葱岁月,9688111518,https://music.163.com/playlist?id=9688111518
1993,38377151,15,2,2024-03-26,1,欧美 电子 驾车 ,184,低沉鼓点，极致低音享受 「车载」,9533245930,https://music.163.com/playlist?id=9533245930
126225,2071162991,357,6,2024-04-08,6,华语 流行 工作 ,113,【上班摸鱼指南】可是旷妈，人是野生的,9711978502,https://music.163.com/playlist?id=9711978502
6454,541959300,56,评论,2024-02-07,0,华语 R&B/Soul 散步 ,59,R&B仙品｜浪漫慵懒·相遇不只是场梦,9267897887,https://music.163.com/playlist?id=9267897887
128123,107742044,498,评论,2024-03-19,2,华语 流行 综艺 ,107,陈楚生 | 单依纯 | 张碧晨 | 汪苏泷 | 周深,9483678311,https://music.163.com/playlist?id=9483678311
10813,494262975,180,3,2024-04-25,18,华语 说唱 ,26,MC HotDog热狗｜装艺术家演唱会歌单,9904678297,https://music.163.com/playlist?id=9904678297
243405,312585551,947,评论,2024-04-04,3,华语 流行 90后 ,183,经典老歌 | 90后带上耳机MP3里的回忆,9671964220,https://music.163.com/playlist?id=9671964220
31022,1468753117,109,3,2024-02-18,1,轻音乐 放松 旅行 ,79,氛围感BGM｜前奏响起即沦陷！,9314516958,https://music.163.com/playlist?id=9314516958
2728,342371680,32,评论,2024-03-20,0,欧美 流行 清新 ,77,欧美小清新 | 温柔治愈的英文清新小调,9487740386,https://music.163.com/playlist?id=9487740386
166436,107742044,748,2,2024-04-13,6,华语 流行 综艺 ,100,神仙舞台：一开嗓就惊艳所有人！,9777794832,https://music.163.com/playlist?id=9777794832
63137,290894929,112,评论,2024-03-02,2,治愈 流行 华语 ,81,路过人间 | 每段并肩，都不过是擦肩。,9371369046,https://music.163.com/playlist?id=9371369046
1674,1475052225,11,评论,2024-03-26,0,欧美 电子 驾车 ,98,运动【硬曲】【战歌起】自律时代,9535289565,https://music.163.com/playlist?id=9535289565
7373,342371680,84,评论,2024-03-12,0,欧美 流行 治愈 ,77,欧美小调 | 春日微醺 阳光正好 微风不燥°,9414853495,https://music.163.com/playlist?id=9414853495
2241,633178224,10,评论,2024-03-25,0,华语 流行 网络歌曲 ,47,唤醒清晨｜阳光每天都在，对的人总会遇见。,9527552290,https://music.163.com/playlist?id=9527552290
154831,1430992951,347,4,2024-05-06,4,伤感 思念 华语 ,30,命运之诗｜爱与被爱同时发生 爱才有意义,9998559934,https://music.163.com/playlist?id=9998559934
142601,107742044,1612,评论,2024-05-01,3,华语 流行 综艺 ,195,天赐的声音第五季全收录！,9961213264,https://music.163.com/playlist?id=9961213264
139589,1872710435,2703,4,2024-03-24,70,运动 欧美 ,46,英语｜脂肪燃烧健身必听的动感旋律歌单,9520291167,https://music.163.com/playlist?id=9520291167
5551,633178224,32,评论,2024-03-28,4,华语 流行 网络歌曲 ,42,四月人间｜每个春天尽是温柔,9564761630,https://music.163.com/playlist?id=9564761630
73670,249628889,416,2,2024-03-03,4,华语 流行 R&B/Soul ,60,柔情R&B：沉醉微醺韵律撩拨心弦,9377284526,https://music.163.com/playlist?id=9377284526
4341,380154710,18,评论,2024-04-22,2,韩语 R&B/Soul 浪漫 ,60,韩式溫柔R&B：夏天的美好是風用了心,9874352478,https://music.163.com/playlist?id=9874352478
64145,290894929,253,评论,2024-03-04,0,华语 流行 90后 ,74,周杰伦免费听 | 青春 一个人悄无声息的回忆,9377250181,https://music.163.com/playlist?id=9377250181
33485,342371680,138,11,2024-03-11,4,华语 流行 伤感 ,42,纯 愛 胖 猫 ：你舍不得吃的麦当劳布满了桥,9414688397,https://music.163.com/playlist?id=9414688397
6164,468356020,33,评论,2024-04-16,1,韩语 流行 快乐 ,41,通勤必备｜上下班途中自救手册,9803098858,https://music.163.com/playlist?id=9803098858
90483,290894929,287,2,2024-03-03,2,华语 流行 怀旧 ,74,周杰伦歌曲 | 回忆青春 致敬我们曾经的岁月,9373688077,https://music.163.com/playlist?id=9373688077
51772,1426317247,167,5,2024-03-11,2,小语种 轻音乐 放松 ,79,浄化轻音｜让身心感受自然的宁静,9412481508,https://music.163.com/playlist?id=9412481508
262305,380154710,1001,5,2024-03-03,24,华语 流行 90后 ,71,90后青春回忆杀：周杰伦歌曲Jay经典,9375637418,https://music.163.com/playlist?id=9375637418
805642,1,18994,531,2024-04-02,313,韩语 流行 ,50,JYP娱乐热单精选｜一键开启活力夏日,9639400068,https://music.163.com/playlist?id=9639400068
548573,312585551,5267,58,2024-03-05,52,电子 性感 驾车 ,117,首车载DJ | 一键狂嗨不犯困,9381396421,https://music.163.com/playlist?id=9381396421
765003,312585551,7783,69,2024-03-05,60,电子 驾车 性感 ,117,车载Dj丨极致低音的震撼体验,9382673612,https://music.163.com/playlist?id=9382673612
72881,1306067336,1134,7,2024-04-11,5,00后 ,34,那些火出圈的二次元神曲,9749056150,https://music.163.com/playlist?id=9749056150
199771,2071162991,301,1,2024-03-25,3,华语 流行 说唱 ,87,声临其境 | 漫天星野遨游指南,9523805470,https://music.163.com/playlist?id=9523805470
1541602,312585551,16270,133,2024-03-05,137,电子 驾车 性感 ,117,车载DJ丨提神醒脑，困意全无,9382737289,https://music.163.com/playlist?id=9382737289
5408,342371680,72,1,2024-04-08,2,欧美 R&B/Soul 浪漫 ,66,甜蜜向R&B：i人浪漫捕诱器 R&B拯救世界~,9712300936,https://music.163.com/playlist?id=9712300936
206101,107742044,5607,11,2024-05-13,16,欧美 流行 学习 ,53,A妹，断眉，亚当，霉霉，比伯，阿黛尔,10048780855,https://music.163.com/playlist?id=10048780855
79865,380154710,117,1,2024-03-26,16,流行 放松 R&B/Soul ,62,享受当下：要像风一样自由洒脱,9534592121,https://music.163.com/playlist?id=9534592121
82646,342371680,542,19,2024-03-30,5,欧美 流行 R&B/Soul ,72,青柠味R&B：清新鼓点 带点阳光少年感浪漫,9598268430,https://music.163.com/playlist?id=9598268430
63670,342371680,346,1,2024-03-07,4,欧美 R&B/Soul 流行 ,66,少女向R&B：可爱且快乐鼓点 R&B拯救世界~,9388796032,https://music.163.com/playlist?id=9388796032
2510,290894929,21,2,2024-05-06,1,经典 流行 韩语 ,83,韩流教科书！一秒沦陷的神仙前奏 回忆杀,9999377340,https://music.163.com/playlist?id=9999377340
74141,468356020,131,4,2024-04-08,2,韩语 流行 快乐 ,50,高级感拉满｜ENTP星人定制韩衣间,9717307512,https://music.163.com/playlist?id=9717307512
